"SNo","Title","URL","Selling Price","MRP","Margin","Margin %"
"67","Unibic Choco Ripple Cookies 12 N (Rs.5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Crackers%2C-Sweet-%26-Salty/UNIBIC/p/000000000000019745","53.0","60.0","7.0","11.67"
"68","Cadbury 5 Star Chocolate Bar 40 N (19.5 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY/p/000000000000010223","363.64","400.0","36.36","9.09"
"69","Dukes Chocolate Waffy 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Wafers/DUKES/p/000000000000011404","22.5","45.0","22.5","50.0"
"70","Kit Kat 2 Finger Chocolate 36 N ( Rs.10 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/KITKAT/p/000000000000015060","327.27","360.0","32.73","9.09"
"71","Cadbury Dairy Milk Chocolate Bar 40 N (23 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY/p/000000000000019143","714.29","800.0","85.71","10.71"
"72","Passpass Pulse Jar Kaccha Aam, 600 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Toffee%2C-Candy-%26-Eclairs/PULSE/p/000000000000035775","150.0","167.0","17.0","10.18"
"73","Parachute Adv Gold Coconut Hair Oil 90 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Oil-%26-Serums/PARACHUTE/p/000000000000040461","40.0","44.0","4.0","9.09"
"74","Great Value Aloo Bhujia 12 N (18 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Namkeen%2C-Chips-%26-Savory/Namkeen-%26-Mixtures/GREAT-VALUE/p/000000000000003973","47.26","60.0","12.74","21.23"
"75","Great Value Dhoop Batti 1 N","https://www.bestprice.in/bestprice/Home-care/Pooja-Needs/Agarbatti-%26-Dhoop/GREAT-VALUE/p/000000000000004211","25.5","30.0","4.5","15.0"
"76","Colgate Sensitive Toothbrush 4 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/COLGATE/p/000000000000013825","85.71","120.0","34.29","28.58"
"77","Dukes Cocolate 10N (Rs.5 Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/DUKES/p/000000000000022406","41.67","50.0","8.33","16.66"
"78","Dove Dandruff Clean Shampoo Sachet 16 N (6 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/DOVE/p/000000000000042273","25.27","32.0","6.73","21.03"
"79","Himalaya Purifying Neem Face Wash 50 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/HIMALAYA/p/000000000000014898","63.64","70.0","6.36","9.09"
"80","Dukes Pineapple Waffy 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Wafers/DUKES/p/000000000000011406","22.5","45.0","22.5","50.0"
"81","Cadbury Oreo Cookies Dipped, 150 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/CADBURY-OREO/p/000000000000030745","59.09","65.0","5.91","9.09"
"82","Maggi Pichkoo 90 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/MAGGI/p/000000000000010717","13.76","15.0","1.24","8.27"
"83","Dukes Vanilla Waffy 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Wafers/DUKES/p/000000000000011405","22.5","45.0","22.5","50.0"
"84","Britannia Suji Rusk 200 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Rusk-%26-Khari/BRITANNIA/p/000000000000010240","27.27","30.0","2.73","9.1"
"85","Dukes Orange Wafers 75 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Wafers/DUKES/p/000000000000011402","22.5","45.0","22.5","50.0"
"86","Dukes Cream 4 Fun Orange Biscuits 10 N (40 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/DUKES/p/000000000000011408","40.0","50.0","10.0","20.0"
"87","Dukes Cream 4 Fun Chocolate Cream Biscuits 10 N (40 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cream-Biscuits/DUKES/p/000000000000011410","40.0","50.0","10.0","20.0"
"88","Parle Elaichi Rusk 400 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Bakery/Rusk-%26-Khari/PARLE/p/000000000000038490","58.18","64.0","5.82","9.09"
"89","Babool Neem Toothpaste 180 g","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Paste-%26-Powder/BABOOL/p/000000000000010369","53.64","59.0","5.36","9.08"
"90","Karachi Bakery Premium Biscuits 400 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/KARACHI/p/000000000000015070","146.0","190.0","44.0","23.16"
"91","Mamaearth Vitamin C Face Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/MAMAEARTH/p/000000000000044129","186.75","249.0","62.25","25.0"
"92","Mamaearth Onion Hair Shampoo 250 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/MAMAEARTH/p/000000000000044152","261.75","349.0","87.25","25.0"
"93","Aashirvaad Multigrain Atta 5 kg","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Atta-%26-Flours/Atta/AASHIRVAAD/p/000000000000026000","267.5","315.0","47.5","15.08"
"94","Nestle Kitkat Chocolate 7 N (18 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/NESTLE/p/000000000000020517","90.91","100.0","9.09","9.09"
"95","Great Value 3 In 1 Agarbatti 120 N","https://www.bestprice.in/bestprice/Home-care/Pooja-Needs/Agarbatti-%26-Dhoop/GREAT-VALUE/p/000000000000004209","30.0","60.0","30.0","50.0"
"96","Himalaya Purifying Neem Face Wash 100 ml","https://www.bestprice.in/bestprice/Personal-care/Skin-Care/Face-Washes/HIMALAYA/p/000000000000014899","118.18","130.0","11.82","9.09"
"97","Rewa Diamond Regular Rice 10 kg","https://www.bestprice.in/bestprice/Rice%2C-Atta-%26-Dals/Rice-%26-Rice-Products/Basmati/-/p/000000000000034939","279.04","363.0","83.96","23.13"
"98","Vicks Vaporub 25 ml","https://www.bestprice.in/bestprice/Health-%26-OTC/Balms-%26-Sprays/VICKS-VAPORUB/p/000000000000010217","70.84","85.0","14.16","16.66"
"99","Britannia Good Day Cashew Biscuits 600 g","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Biscuits/Cookies/BRITANNIA/p/000000000000017358","109.09","120.0","10.91","9.09"
"100","Garnier Natural Black Hair Colour Shade No 1 70 ml + 60 g","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GARNIER/p/000000000000010474","160.71","180.0","19.29","10.72"
"101","Garnier Colour Natural Black Hair Colour Shade No 1 35 ml + 30 g","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/GARNIER/p/000000000000012511","71.43","80.0","8.57","10.71"
"102","Dove Shampoo Sachet Intense Repair, 64N (7 ml Each)","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Shampoos-%26-Conditioners/Shampoo/DOVE/p/000000000000019453","25.27","32.0","6.73","21.03"
"103","Sensodyne Sensitive Toothbrush 1 N","https://www.bestprice.in/bestprice/Personal-care/Dental-care/Tooth-Brush/SENSODYNE/p/000000000000013580","37.04","50.0","12.96","25.92"
"104","Maggi Tomato Ketchup 1 kg","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Jams%2C-Sauces-%26-Pickles/Sauces-%26-Ketchup/MAGGI/p/000000000000010875","137.61","150.0","12.39","8.26"
"105","Indica Easy Hair Colour Black, 18 ml","https://www.bestprice.in/bestprice/Personal-care/Hair-Care/Hair-Colors-%26-Dyes/Hair-Color/INDICA/p/000000000000034747","24.55","27.0","2.45","9.07"
"106","Cadbury Perk 48 N (13 g Each)","https://www.bestprice.in/bestprice/Packaged-Foods-%26-Dry-Fruits/Chocolates-%26-Toffees/Chocolates/CADBURY-PERK/p/000000000000020798","218.18","240.0","21.82","9.09"
